id,title,authors,year,venue,arxiv,category
525,CAMEL: Communicative Agents for Mind Exploration,Li et al.,2023,arXiv,2303.17760,Multi-Agent
526,WebArena: A Realistic Web Environment for Building Autonomous Agents,Zhou et al.,2023,arXiv,2307.13854,LLM Applications
527,AgentBench: Evaluating LLMs as Agents,Liu et al.,2023,arXiv,2308.03688,LLM Applications
528,Chain-of-Thought Prompting: Chain-of-Thought Prompting Elicits Reasoning,Wei et al.,2022,NeurIPS,2201.11903,Prompting
529,Self-Consistency: Self-Consistency Improves Chain of Thought Reasoning,Wang et al.,2023,ICLR,2203.11171,Prompting
530,PAL: Program-aided Language Models,Gao et al.,2023,ICML,2211.10435,Prompting
531,Least-to-Most Prompting: Least-to-Most Prompting Enables Complex Reasoning,Zhou et al.,2023,ICLR,2205.10625,Prompting
532,Zero-shot CoT: Large Language Models are Zero-Shot Reasoners,Kojima et al.,2022,NeurIPS,2205.11916,Prompting
533,ReWOO: Decoupling Reasoning from Observations,Xu et al.,2023,arXiv,2305.18323,Prompting
534,Graph of Thoughts: Solving Elaborate Problems with LLMs,Besta et al.,2023,arXiv,2308.09687,Prompting
535,Automatic Prompt Engineer: Automatic Prompt Optimization,Zhou et al.,2023,EMNLP,2211.01910,Prompting
536,OPRO: Large Language Models as Optimizers,Yang et al.,2023,arXiv,2309.03409,Prompting
537,Constitutional AI: Training a Helpful and Harmless Assistant,Bai et al.,2022,arXiv,2212.08073,AI Safety
538,RLHF: Training language models to follow instructions with human feedback,Ouyang et al.,2022,NeurIPS,2203.02155,AI Safety
539,Red Teaming Language Models with Language Models,Perez et al.,2022,EMNLP,2202.03286,AI Safety
540,Anthropic: Language Models (Mostly) Know What They Know,Kadavath et al.,2022,arXiv,2207.05221,AI Safety
541,Truthful QA: Measuring How Models Mimic Human Falsehoods,Lin et al.,2022,ACL,2109.07958,AI Safety
542,WebGPT: Improving alignment of dialogue agents via targeted human judgments,Stiennon et al.,2020,NeurIPS,2009.01325,AI Safety
543,Sparrow: Improving alignment of dialogue agents,Glaese et al.,2022,arXiv,2209.14375,AI Safety
544,Direct Preference Optimization: Your Language Model is Secretly a Reward Model,Rafailov et al.,2023,arXiv,2305.18290,RLHF
545,RRHF: Rank Responses to Align Language Models,Yuan et al.,2023,arXiv,2304.05302,RLHF
546,PRO: Preference Ranking Optimization,Song et al.,2023,arXiv,2306.17492,RLHF
547,LIMA: Less Is More for Alignment,Zhou et al.,2023,arXiv,2305.11206,Alignment
548,Orca: Progressive Learning from Complex Explanation Traces,Mukherjee et al.,2023,arXiv,2306.02707,Distillation
549,Orca 2: Teaching Small Language Models How to Reason,Mitra et al.,2023,arXiv,2311.11045,Distillation
550,Phi-1: Textbooks Are All You Need,Gunasekar et al.,2023,arXiv,2306.11644,Small LLMs
551,Phi-1.5: Textbooks Are All You Need II,Li et al.,2023,arXiv,2309.05463,Small LLMs
552,Phi-2: Small Language Models Punch Above Their Weight,Microsoft,2023,Blog,,Small LLMs
553,TinyStories: How Small Can Language Models Be and Still Speak Coherent English,Eldan & Li,2023,arXiv,2305.07759,Small LLMs
554,Mistral 7B: Mistral 7B,Jiang et al.,2023,arXiv,2310.06825,Open Source LLMs
555,Mixtral 8x7B: Mixtral of Experts,Jiang et al.,2024,arXiv,2401.04088,Open Source LLMs
556,Zephyr: Direct Distillation of LM Alignment,Tunstall et al.,2023,arXiv,2310.16944,Open Source LLMs
557,Falcon: The RefinedWeb Dataset for Falcon LLM,Penedo et al.,2023,arXiv,2306.01116,Open Source LLMs
558,MPT: MosaicML Pretrained Transformer,MosaicML,2023,Blog,,Open Source LLMs
559,StableLM: Stability AI Language Models,Stability AI,2023,Blog,,Open Source LLMs
560,OpenLLaMA: An Open Reproduction of LLaMA,OpenLM,2023,GitHub,,Open Source LLMs
561,RedPajama: An Open Source Recipe to Reproduce LLaMA,Together,2023,Blog,,Open Source LLMs
562,LLaMA 2: Open Foundation and Fine-Tuned Chat Models,Touvron et al.,2023,arXiv,2307.09288,Open Source LLMs
563,CodeLLaMA: Code Llama Open Foundation Models for Code,Rozière et al.,2023,arXiv,2308.12950,Code Generation
564,Baichuan: A series of large language models,Baichuan,2023,arXiv,2309.10305,Open Source LLMs
565,InternLM: A Multilingual Language Model with Progressively Enhanced Capabilities,InternLM Team,2023,arXiv,2309.01425,Open Source LLMs
566,Qwen: Qwen Technical Report,Bai et al.,2023,arXiv,2309.16609,Open Source LLMs
567,XVERSE: XVERSE-13B A multilingual large language model,XVERSE,2023,arXiv,2401.06066,Open Source LLMs
568,Yi: Yi Open Foundation Models,01.AI,2024,arXiv,2403.04652,Open Source LLMs
569,DeepSeek LLM: Scaling Open-Source Language Models,DeepSeek-AI,2024,arXiv,2401.02954,Open Source LLMs
570,Gemma: Open Models Based on Gemini Research and Technology,Google,2024,arXiv,2403.08295,Open Source LLMs
571,Command R: Cohere For AI Command Models,Cohere,2024,Blog,,Open Source LLMs
572,DBRX: A New Standard for Efficient Open Source Models,Databricks,2024,Blog,,Open Source LLMs
573,Snowflake Arctic: The Best LLM for Enterprise AI,Snowflake,2024,Blog,,Open Source LLMs
574,Grok-1: Grok-1 Open Release,xAI,2024,Blog,,Open Source LLMs
575,Claude: Model Card and Evaluations for Claude Models,Anthropic,2023,Blog,,Commercial LLMs
576,Claude 2: Claude 2.1 Announcement,Anthropic,2023,Blog,,Commercial LLMs
577,Claude 3: Introducing the next generation of Claude,Anthropic,2024,Blog,,Commercial LLMs
578,PaLM 2: Technical Report,Google,2023,arXiv,2305.10403,Commercial LLMs
579,Bard: An Experimental Conversational AI Service,Google,2023,Blog,,Commercial LLMs
580,Gemini Pro: Gemini A Family of Highly Capable Multimodal Models,Google,2023,arXiv,2312.11805,Commercial LLMs
581,Gemini Ultra: Capabilities of Gemini models in complex tasks,Google,2024,Blog,,Commercial LLMs
582,Ernie: Enhanced Representation through Knowledge Integration,Baidu,2023,arXiv,2107.02137,Commercial LLMs
583,Wenxin: A Large-scale Chinese Pre-trained Language Model,Baidu,2021,arXiv,2104.05189,Commercial LLMs
584,GLM: General Language Model Pretraining,Zeng et al.,2022,ACL,2103.10360,Open Source LLMs
585,ChatGLM: An Open Bilingual Dialogue Language Model,THUDM,2023,arXiv,2103.10360,Open Source LLMs
586,ChatGLM2: ChatGLM2-6B An Open Bilingual Chat LLM,THUDM,2023,GitHub,,Open Source LLMs
587,Megatron-Turing NLG: Using DeepSpeed and Megatron to Train,Smith et al.,2022,arXiv,2201.11990,Large Scale Training
588,Jurassic-1: Technical Details and Evaluation,Lieber et al.,2021,Tech Report,,Commercial LLMs
589,AI21 Labs: Jurassic-2 Models,AI21 Labs,2023,Blog,,Commercial LLMs
590,Cohere Command: Large Language Models for Business,Cohere,2023,Blog,,Commercial LLMs
591,Aleph Alpha: Luminous Exploring the Limits of Transfer Learning,Aleph Alpha,2023,Blog,,Commercial LLMs
592,Inflection-2: Inflection-2 The Next Step Up,Inflection AI,2023,Blog,,Commercial LLMs
593,Character.AI: Personalized AI for Everyone,Character.AI,2023,Blog,,Commercial LLMs
594,Perplexity: Conversational Search Engine,Perplexity AI,2023,Blog,,Commercial LLMs
595,You.com: AI-Powered Search and Productivity,You.com,2023,Blog,,Commercial LLMs
596,Jasper: Generative AI Platform for Business,Jasper,2023,Blog,,Commercial LLMs
597,Copy.ai: AI Content Generator,Copy.ai,2023,Blog,,Commercial LLMs
598,Anthropic Claude Code: Code-Specialized Claude Model,Anthropic,2024,Blog,,Commercial LLMs
599,OpenAI Embedding Models: Text and Code Embeddings,OpenAI,2023,Blog,,Embeddings
600,Voyage AI: Domain-Adapted Retrieval Models,Voyage AI,2023,Blog,,Embeddings
601,RNN: Recurrent Neural Networks,Rumelhart et al.,1986,Nature,,Foundations
602,LSTM: Long Short-Term Memory,Hochreiter & Schmidhuber,1997,Neural Computation,,Foundations
603,GRU: Gated Recurrent Units,Cho et al.,2014,EMNLP,1406.1078,Foundations
604,Seq2Seq: Sequence to Sequence Learning,Sutskever et al.,2014,NeurIPS,1409.3215,Foundations
605,Neural Turing Machines,Graves et al.,2014,arXiv,1410.5401,Memory Networks
606,Memory Networks,Weston et al.,2015,ICLR,1410.3916,Memory Networks
607,End-to-End Memory Networks,Sukhbaatar et al.,2015,NeurIPS,1503.08895,Memory Networks
608,Dynamic Memory Networks,Kumar et al.,2016,ICML,1506.07285,Memory Networks
609,Differentiable Neural Computer,Graves et al.,2016,Nature,1610.06258,Memory Networks
610,Capsule Networks: Dynamic Routing Between Capsules,Sabour et al.,2017,NeurIPS,1710.09829,Novel Architectures
611,Hinton Capsules: Matrix capsules with EM routing,Hinton et al.,2018,ICLR,1710.09829,Novel Architectures
612,Neural Architecture Search: Learning Transferable Architectures,Zoph et al.,2018,CVPR,1707.07012,AutoML
613,AmoebaNet: Regularized Evolution for Image Classifier Architecture Search,Real et al.,2019,AAAI,1802.01548,AutoML
614,EfficientNet: Rethinking Model Scaling for CNNs,Tan & Le,2019,ICML,1905.11946,Computer Vision
615,MobileOne: An Improved One millisecond Mobile Backbone,Vasu et al.,2023,CVPR,2206.04040,Computer Vision
616,FastViT: A Fast Hybrid Vision Transformer,Vasu et al.,2023,arXiv,2303.14189,Computer Vision
617,TResNet: High Performance GPU-Dedicated Architecture,Ridnik et al.,2021,WACV,2003.13630,Computer Vision
618,Swin Transformer V2: Scaling Up Capacity and Resolution,Liu et al.,2022,CVPR,2111.09883,Computer Vision
619,MaxViT: Multi-Axis Vision Transformer,Tu et al.,2022,ECCV,2204.01697,Computer Vision
620,CoAtNet: Marrying Convolution and Attention,Dai et al.,2021,NeurIPS,2106.04803,Computer Vision
621,ConvMixer: Patches Are All You Need,Trockman & Kolter,2022,ICLR,2201.09792,Computer Vision
622,PoolFormer: MetaFormer is Actually What You Need,Yu et al.,2022,CVPR,2111.11418,Computer Vision
623,Uniformer: Unifying Convolution and Self-attention,Li et al.,2022,ICLR,2201.09450,Computer Vision
624,CSWin: A General Vision Transformer Backbone,Dong et al.,2022,CVPR,2107.00652,Computer Vision
625,Focal Transformer: Focal Self-attention for Local-Global Interactions,Yang et al.,2021,NeurIPS,2107.00641,Computer Vision
626,CrossViT: Cross-Attention Multi-Scale Vision Transformer,Chen et al.,2021,ICCV,2103.14899,Computer Vision
627,Twins: Revisiting Spatial Attention Design,Chu et al.,2021,NeurIPS,2104.13840,Computer Vision
628,CaiT: Going deeper with Image Transformers,Touvron et al.,2021,ICCV,2103.17239,Computer Vision
629,DeiT: Training data-efficient image transformers,Touvron et al.,2021,ICML,2012.12877,Computer Vision
630,LeViT: a Vision Transformer in ConvNet's Clothing,Graham et al.,2021,ICCV,2104.01136,Computer Vision
631,PVT: Pyramid Vision Transformer,Wang et al.,2021,ICCV,2102.12122,Computer Vision
632,TNT: Transformer in Transformer,Han et al.,2021,NeurIPS,2103.00112,Computer Vision
633,Tokens-to-Token ViT: Training Vision Transformers from Scratch,Yuan et al.,2021,ICCV,2101.11986,Computer Vision
634,DeepViT: Towards Deeper Vision Transformer,Zhou et al.,2021,arXiv,2103.11886,Computer Vision
635,LocalViT: Bringing Locality to Vision Transformers,Li et al.,2021,arXiv,2104.05707,Computer Vision
636,Perceiver IO: A General Architecture for Structured Inputs & Outputs,Jaegle et al.,2021,NeurIPS,2107.14795,Novel Architectures
637,FNet: Mixing Tokens with Fourier Transforms,Lee-Thorp et al.,2022,NAACL,2105.03824,Novel Architectures
638,Nyströmformer: A Nyström-Based Algorithm for Approximating Self-Attention,Xiong et al.,2021,AAAI,2102.03902,Efficient Transformers
639,Synthesizer: Rethinking Self-Attention,Tay et al.,2021,ICML,2005.00743,Novel Architectures
640,Linear Transformer: Transformers are RNNs,Katharopoulos et al.,2020,ICML,2006.16236,Efficient Transformers
641,Routing Transformer: Efficient Content-Based Sparse Attention,Roy et al.,2021,TACL,2003.05997,Efficient Transformers
642,Set Transformer: A Framework for Attention-based Permutation-Invariant,Lee et al.,2019,ICML,1810.00825,Novel Architectures
643,FAVOR+: Rethinking Attention with Performers,Choromanski et al.,2021,ICLR,2009.14794,Efficient Transformers
644,Sparse Transformer: Generating Long Sequences with Sparse Transformers,Child et al.,2019,arXiv,1904.10509,Efficient Transformers
645,Sandwich Transformer: Linear Attention with O(n) Complexity,Tay et al.,2020,arXiv,2009.14794,Efficient Transformers
646,Combiner: Full Attention Transformer in O(n),Ren et al.,2021,NeurIPS,2107.05768,Efficient Transformers
647,H-Transformer-1D: Fast One-Dimensional Hierarchical Attention,Zhu & Soricut,2021,ACL,2107.11906,Efficient Transformers
648,S4: Efficiently Modeling Long Sequences with Structured State Spaces,Gu et al.,2022,ICLR,2111.00396,Novel Architectures
649,Hyena Hierarchy: Towards Larger Convolutional Language Models,Poli et al.,2023,arXiv,2302.10866,Novel Architectures
650,RWKV: Reinventing RNNs for the Transformer Era,Peng et al.,2023,arXiv,2305.13048,Novel Architectures
651,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,Gu & Dao,2023,arXiv,2312.00752,Novel Architectures
652,RetNet: Retentive Network A Successor to Transformer,Sun et al.,2023,arXiv,2307.08621,Novel Architectures
653,Mega: Moving Average Equipped Gated Attention,Ma et al.,2023,ICLR,2209.10655,Novel Architectures
654,Transformer Quality in Linear Time,Hua et al.,2022,arXiv,2202.10447,Efficient Transformers
655,FLASH: Fast and Accurate Extreme Classification on TPUs,Hua et al.,2021,ICML,2109.10847,Efficient Transformers
656,Block-Recurrent Transformers,Hutchins et al.,2022,NeurIPS,2203.07852,Novel Architectures
657,Recurrent Memory Transformer,Bulatov et al.,2022,NeurIPS,2207.06881,Novel Architectures
658,Memorizing Transformers,Wu et al.,2022,ICLR,2203.08913,Memory Networks
659,Landmark Attention: Random-Access Infinite Context Length,Mohtashami & Jaggi,2023,arXiv,2305.16300,Efficient Transformers
660,Sparse Attention: ETA Prediction with Graph Neural Networks,Derrow-Pinion et al.,2021,CIKM,2108.11482,Efficient Transformers
661,ALiBi: Train Short Test Long,Press et al.,2022,ICLR,2108.12409,Position Encoding
662,RoPE: RoFormer Enhanced Transformer with Rotary Position Embedding,Su et al.,2021,arXiv,2104.09864,Position Encoding
663,xPos: Length Extrapolation for Transformers,Sun et al.,2023,arXiv,2212.10554,Position Encoding
664,Relative Position Representations: Self-Attention with Relative Position,Shaw et al.,2018,NAACL,1803.02155,Position Encoding
665,T5 Position Bias: Exploring the Limits of Transfer Learning,Raffel et al.,2020,JMLR,1910.10683,Position Encoding
666,ByT5: Towards a token-free future with pre-trained byte-to-byte models,Xue et al.,2022,TACL,2105.13626,Tokenization
667,CANINE: Pre-training an Efficient Tokenization-Free Encoder,Clark et al.,2022,TACL,2103.06874,Tokenization
668,CharacterBERT: Reconciling ELMo and BERT,El Boukkouri et al.,2020,COLING,2010.10392,Tokenization
669,SentencePiece: A simple and language independent approach,Kudo & Richardson,2018,EMNLP,1808.06226,Tokenization
670,BPE: Neural Machine Translation of Rare Words with Subword Units,Sennrich et al.,2016,ACL,1508.07909,Tokenization
671,WordPiece: Japanese and Korean Voice Search,Schuster & Nakajima,2012,ICASSP,,Tokenization
672,Unigram Language Model: Subword Regularization,Kudo,2018,ACL,1804.10959,Tokenization
673,ByT5: Towards a Token-Free Future with Pre-trained Byte-to-Byte Models,Xue et al.,2022,TACL,2105.13626,Tokenization
674,Charformer: Fast Character Transformers via Gradient-based Subword Tokenization,Tay et al.,2022,ICLR,2106.12672,Tokenization
675,MEGABYTE: Predicting Million-byte Sequences with Multiscale Transformers,Yu et al.,2023,arXiv,2305.07185,Tokenization
676,Data Filtering: Quality Not Quantity,Albalak et al.,2023,arXiv,2305.13169,Data Curation
677,DataComp: In search of the next generation of multimodal datasets,Gadre et al.,2023,arXiv,2304.14108,Data Curation
678,LAION-5B: An open large-scale dataset for training next generation image-text models,Schuhmann et al.,2022,NeurIPS,2210.08402,Data Curation
679,Falcon RefinedWeb: Outperforming Curated Corpora,Penedo et al.,2023,arXiv,2306.01116,Data Curation
680,RedPajama Data: An Open Source Recipe to Reproduce LLaMA training dataset,Together,2023,Blog,,Data Curation
681,C4: Colossal Clean Crawled Corpus,Raffel et al.,2020,JMLR,1910.10683,Data Curation
682,The Pile: An 800GB Dataset of Diverse Text,Gao et al.,2021,arXiv,2101.00027,Data Curation
683,mC4: A Colossal Cleaned Version of Common Crawl's web crawl corpus,Xue et al.,2021,TACL,2010.11934,Data Curation
684,ROOTS: A 1.6TB Composite Multilingual Dataset,Laurençon et al.,2023,arXiv,2303.03915,Data Curation
685,SlimPajama: A 627B token cleaned and deduplicated version,Cerebras,2023,Blog,,Data Curation
686,Dolma: an Open Corpus of Three Trillion Tokens,Soldaini et al.,2024,arXiv,2402.00159,Data Curation
687,FineWeb: Decanting the Web for the Finest Text Data at Scale,HuggingFace,2024,Blog,,Data Curation
688,Deduplication: Deduplicating Training Data Makes Language Models Better,Lee et al.,2022,ACL,2107.06499,Data Curation
689,SemDeDup: Data-Efficient Learning via Semantic Deduplication,Abbas et al.,2023,arXiv,2303.09540,Data Curation
690,Data Pruning: Less is More,Sorscher et al.,2022,arXiv,2206.14486,Data Curation
691,Perplexity Filtering: Scaling Language Models,Wenzek et al.,2020,LREC,1911.00359,Data Curation
692,Quality Filtering: CCNet Extracting High Quality Monolingual Datasets,Wenzek et al.,2020,LREC,1911.00359,Data Curation
693,Synthetic Data: Textbooks Are All You Need,Gunasekar et al.,2023,arXiv,2306.11644,Data Synthesis
694,Self-Instruct: Aligning Language Models with Self-Generated Instructions,Wang et al.,2023,ACL,2212.10560,Data Synthesis
695,Evol-Instruct: WizardLM Empowering Large Language Models,Xu et al.,2023,arXiv,2304.12244,Data Synthesis
696,Alpagasus: Training A Better Alpaca with Fewer Data,Chen et al.,2023,arXiv,2307.08701,Data Synthesis
697,UltraChat: Large-scale Auto-generated Multi-round Dialogue Data,Ding et al.,2023,arXiv,2305.14233,Data Synthesis
698,OpenHermes: An Open Dataset of Synthetic Instruction Following Conversations,Teknium,2023,GitHub,,Data Synthesis
699,ShareGPT: User-Shared Conversations with ChatGPT,ShareGPT,2023,Web,,Data Synthesis
700,LIMA Dataset: Less Is More for Alignment,Zhou et al.,2023,arXiv,2305.11206,Data Curation
701,OpenOrca: A Filtered and Deduplicated Dataset,OpenOrca,2023,GitHub,,Data Synthesis
702,NeurIPS: Neural Information Processing Systems,NeurIPS,Foundation,Conference,,Venues
703,ICML: International Conference on Machine Learning,ICML,Foundation,Conference,,Venues
704,ICLR: International Conference on Learning Representations,ICLR,Foundation,Conference,,Venues
705,CVPR: Computer Vision and Pattern Recognition,CVPR,Foundation,Conference,,Venues
706,ICCV: International Conference on Computer Vision,ICCV,Foundation,Conference,,Venues
707,ECCV: European Conference on Computer Vision,ECCV,Foundation,Conference,,Venues
708,ACL: Association for Computational Linguistics,ACL,Foundation,Conference,,Venues
709,EMNLP: Empirical Methods in Natural Language Processing,EMNLP,Foundation,Conference,,Venues
710,NAACL: North American Chapter of the ACL,NAACL,Foundation,Conference,,Venues
711,AAAI: Association for the Advancement of Artificial Intelligence,AAAI,Foundation,Conference,,Venues
712,IJCAI: International Joint Conferences on AI,IJCAI,Foundation,Conference,,Venues
713,KDD: Knowledge Discovery and Data Mining,KDD,Foundation,Conference,,Venues
714,SIGIR: Special Interest Group on Information Retrieval,SIGIR,Foundation,Conference,,Venues
715,WACV: Winter Conference on Applications of Computer Vision,WACV,Foundation,Conference,,Venues
716,BMVC: British Machine Vision Conference,BMVC,Foundation,Conference,,Venues
717,Backpropagation: Learning representations by back-propagating errors,Rumelhart et al.,1986,Nature,,Foundations
718,Gradient Descent: A method for solving machine learning problems,Cauchy,1847,Historical,,Foundations
719,Perceptron: The perceptron a perceiving and recognizing automaton,Rosenblatt,1957,Cornell Aeronautical Laboratory,,Foundations
720,Neural Networks: Parallel Distributed Processing,Rumelhart et al.,1986,MIT Press,,Foundations
721,Universal Approximation: Approximation by superpositions of a sigmoidal function,Hornik,1991,Neural Networks,,Theory
722,Xavier Initialization: Understanding the difficulty of training deep feedforward,Glorot & Bengio,2010,AISTATS,,Initialization
723,He Initialization: Delving Deep into Rectifiers,He et al.,2015,ICCV,1502.01852,Initialization
724,Orthogonal Initialization: Exact solutions to the nonlinear dynamics,Saxe et al.,2014,ICLR,,Initialization
725,SELU: Self-Normalizing Neural Networks,Klambauer et al.,2017,NeurIPS,1706.02515,Activation Functions
726,Hard Swish: Searching for MobileNetV3,Howard et al.,2019,ICCV,1905.02244,Activation Functions
727,Meta Pseudo Labels: Meta Pseudo Labels,Pham et al.,2021,CVPR,2003.10580,Semi-Supervised
728,MPL: Meta Pseudo Labels,Pham et al.,2021,CVPR,2003.10580,Semi-Supervised
729,Unsupervised Meta-Learning: Unsupervised Meta-Learning for Few-Shot Image Classification,Hsu et al.,2019,NeurIPS,1811.11819,Meta-Learning
730,Transductive Few-Shot Learning: Transductive Propagation Network,Liu et al.,2019,ICLR,1805.10002,Few-Shot Learning
731,Task2Vec: Task Embedding for Meta-Learning,Achille et al.,2019,ICCV,1902.03545,Meta-Learning
732,CrossTransformers: spatially-aware few-shot transfer,Doersch et al.,2020,NeurIPS,2007.11498,Few-Shot Learning
733,Universal Representations: CLIP Learning Transferable Visual Models,Radford et al.,2021,ICML,2103.00020,Representation Learning
734,Representation Learning: A Review and New Perspectives,Bengio et al.,2013,TPAMI,,Theory
735,Disentangled Representations: beta-VAE Learning Basic Visual Concepts,Higgins et al.,2017,ICLR,1804.03599,Representation Learning
736,InfoNCE: Representation Learning with Contrastive Predictive Coding,van den Oord et al.,2018,arXiv,1807.03748,Contrastive Learning
737,Noise Contrastive Estimation: A new estimation principle for unnormalized models,Gutmann & Hyvärinen,2010,AISTATS,,Theory
738,Contrastive Divergence: Training Products of Experts by Minimizing Contrastive Divergence,Hinton,2002,Neural Computation,,Theory
739,Variational Autoencoders: Auto-Encoding Variational Bayes,Kingma & Welling,2014,ICLR,1312.6114,Generative Models
740,VAE: An Introduction to Variational Autoencoders,Kingma & Welling,2019,Foundations and Trends,1906.02691,Generative Models
741,Beta-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework,Higgins et al.,2017,ICLR,1804.03599,Generative Models
742,VQ-VAE: Neural Discrete Representation Learning,van den Oord et al.,2017,NeurIPS,1711.00937,Generative Models
743,VQ-VAE-2: Generating Diverse High-Fidelity Images,Razavi et al.,2019,NeurIPS,1906.00446,Generative Models
744,VQGAN: Taming Transformers for High-Resolution Image Synthesis,Esser et al.,2021,CVPR,2012.09841,Generative Models
745,Normalizing Flows: Variational Inference with Normalizing Flows,Rezende & Mohamed,2015,ICML,1505.05770,Generative Models
746,Glow: Generative Flow using Invertible 1x1 Convolutions,Kingma & Dhariwal,2018,NeurIPS,1807.03039,Generative Models
747,RealNVP: Density estimation using Real NVP,Dinh et al.,2017,ICLR,1605.08803,Generative Models
748,Flow Matching: Flow Matching for Generative Modeling,Lipman et al.,2023,ICLR,2210.02747,Generative Models
749,Consistency Models: Consistency Models,Song et al.,2023,ICML,2303.01469,Generative Models
750,Score-Based Models: Generative Modeling by Estimating Gradients,Song & Ermon,2019,NeurIPS,1907.05600,Generative Models
751,NCSN: Improved Techniques for Training Score-Based Generative Models,Song & Ermon,2020,NeurIPS,2006.09011,Generative Models
752,Score SDE: Score-Based Generative Modeling through SDEs,Song et al.,2021,ICLR,2011.13456,Generative Models
753,Latent Diffusion: High-Resolution Image Synthesis with Latent Diffusion Models,Rombach et al.,2022,CVPR,2112.10752,Generative Models
754,Guided Diffusion: Diffusion Models Beat GANs on Image Synthesis,Dhariwal & Nichol,2021,NeurIPS,2105.05233,Generative Models
755,Classifier-Free Guidance: Classifier-Free Diffusion Guidance,Ho & Salimans,2022,NeurIPS Workshop,2207.12598,Generative Models
756,DDIM: Denoising Diffusion Implicit Models,Song et al.,2021,ICLR,2010.02502,Generative Models
757,DDPM: Denoising Diffusion Probabilistic Models,Ho et al.,2020,NeurIPS,2006.11239,Generative Models
758,LDM: Latent Diffusion Models,Rombach et al.,2022,CVPR,2112.10752,Generative Models
759,DiT: Scalable Diffusion Models with Transformers,Peebles & Xie,2023,ICCV,2212.09748,Generative Models
760,U-ViT: All are Worth Words A ViT Backbone for Diffusion Models,Bao et al.,2023,CVPR,2209.12152,Generative Models
761,EDM: Elucidating the Design Space of Diffusion-Based Generative Models,Karras et al.,2022,NeurIPS,2206.00364,Generative Models
762,Consistency Training: Improved Consistency Training,Song et al.,2023,arXiv,2310.14189,Generative Models
763,Progressive Distillation: Progressive Distillation for Fast Sampling,Salimans & Ho,2022,ICLR,2202.00512,Diffusion Distillation
764,DiffusionDet: Diffusion Model for Object Detection,Chen et al.,2023,ICCV,2211.09788,Object Detection
765,InstructDiffusion: A Generalist Modeling Interface for Vision Tasks,Geng et al.,2023,arXiv,2309.03895,Image Editing
766,SinDiffusion: Learning a Diffusion Model from a Single Natural Image,Kulikov et al.,2023,arXiv,2211.12445,Generative Models
767,Zero-Shot Image-to-Image Translation: pix2pix-zero,Parmar et al.,2023,SIGGRAPH,2302.03027,Image Editing
768,MultiDiffusion: Fusing Diffusion Paths for Controlled Image Generation,Bar-Tal et al.,2023,ICML,2302.08113,Image Editing
769,SyncDiffusion: Coherent Montage via Synchronized Joint Diffusions,Lee et al.,2023,arXiv,2306.05178,Image Editing
770,GLIGEN: Open-Set Grounded Text-to-Image Generation,Li et al.,2023,CVPR,2301.07093,Image Generation
771,ReCo: Region-Controlled Text-to-Image Generation,Yang et al.,2023,CVPR,2211.15518,Image Generation
772,GLIGEN: Grounding Language-to-Image Generation,Li et al.,2023,CVPR,2301.07093,Image Generation
773,Composer: Creative and Controllable Image Synthesis,Huang et al.,2023,arXiv,2302.09778,Image Generation
774,Paint by Word: Semantic Paintbrush for Text-to-Image Editing,Basu et al.,2023,arXiv,2103.04081,Image Editing
775,Blended Diffusion: Text-driven Editing of Natural Images,Avrahami et al.,2022,CVPR,2111.14818,Image Editing
776,Null-text Inversion: Null-text Inversion for Editing Real Images,Mokady et al.,2023,CVPR,2211.09794,Image Editing
777,Imagic: Text-Based Real Image Editing with Diffusion Models,Kawar et al.,2023,CVPR,2210.09276,Image Editing
778,UniTune: Text-Driven Image Editing by Fine-Tuning,Valevski et al.,2023,ICCV,2210.09477,Image Editing
779,MasaCtrl: Tuning-Free Mutual Self-Attention Control,Cao et al.,2023,ICCV,2304.08465,Image Editing
780,Plug-and-Play: Plug-and-Play Diffusion Features,Tumanyan et al.,2023,CVPR,2211.12572,Image Editing
781,PhotoSwap: Personalized Subject Swapping in Images,Gu et al.,2023,arXiv,2305.18286,Image Editing
782,Custom Diffusion: Multi-Concept Customization of Text-to-Image Diffusion,Kumari et al.,2023,CVPR,2212.04488,Image Editing
783,SVDiff: Compact Parameter Space for Diffusion Fine-Tuning,Han et al.,2023,ICCV,2303.11305,Image Editing
784,Cones: Concept Neurons in Diffusion Models,Kwon et al.,2023,ICML,2303.05125,Interpretability
785,ProSpect: Prompt Spectrum for Attribute-Aware Personalization,Zhou et al.,2023,arXiv,2305.16225,Image Generation
786,HyperDreamBooth: HyperNetworks for Fast Personalization,Ruiz et al.,2023,arXiv,2307.06949,Image Editing
787,StyleDrop: Text-to-Image Generation in Any Style,Sohn et al.,2023,arXiv,2306.00983,Image Generation
788,InstantBooth: Personalized Text-to-Image Generation,Shi et al.,2023,arXiv,2304.03411,Image Generation
789,ELITE: Encoding in Latent Image Models,Wei et al.,2023,arXiv,2302.13848,Image Generation
790,Textual Inversion: An Image is Worth One Word,Gal et al.,2022,arXiv,2208.01618,Image Editing
791,Perfusion: Personalizing Text-to-Image Generation,Tewel et al.,2023,arXiv,2303.13159,Image Generation
792,BLIP Diffusion: Pre-trained Subject Representation,Li et al.,2023,arXiv,2305.14720,Image Generation
